,K Train Cluster IDS
0,5
1,0
2,0
3,0
4,1
5,0
6,0
7,6
8,0
9,7
10,6
11,7
12,1
13,7
14,5
15,4
16,0
17,2
18,6
19,1
20,0
21,0
22,5
23,7
24,7
25,1
26,0
27,1
28,5
29,0
30,7
31,7
32,0
33,0
34,1
35,5
36,7
37,5
38,6
39,5
40,5
41,5
42,5
43,1
44,7
45,0
46,7
47,0
48,6
49,0
50,0
51,7
52,5
53,6
54,1
55,0
56,6
57,7
58,0
59,0
60,0
61,6
62,0
63,5
64,1
65,3
66,1
67,7
68,0
69,0
70,0
71,5
72,7
73,6
74,1
75,7
76,0
77,6
78,0
79,6
80,2
81,1
82,0
83,0
84,0
85,1
86,7
87,0
88,0
89,7
90,2
91,5
92,5
93,6
94,0
95,0
96,7
97,5
98,0
99,0
100,7
101,3
102,4
103,0
104,4
105,5
106,5
107,1
108,0
109,0
110,5
111,0
112,7
113,5
114,4
115,5
116,0
117,1
118,3
119,7
120,1
121,5
122,3
123,0
124,0
125,0
126,6
127,6
128,7
129,5
130,5
131,1
132,7
133,6
134,6
135,0
136,0
137,4
138,6
139,0
140,5
141,7
142,0
143,0
144,0
145,0
146,5
147,1
148,0
149,5
150,3
151,2
152,6
153,5
154,6
155,0
156,4
157,7
158,0
159,0
160,7
161,7
162,7
163,7
164,5
165,0
166,6
167,0
168,6
169,7
170,0
171,0
172,0
173,0
174,6
175,5
176,5
177,1
178,2
179,4
180,6
181,4
182,6
183,1
184,7
185,0
186,2
187,5
188,4
189,0
190,6
191,6
192,6
193,1
194,0
195,5
196,0
197,5
198,2
199,6
200,7
201,0
202,1
203,6
204,0
205,0
206,0
207,6
208,7
209,5
210,1
211,7
212,5
213,7
214,0
215,2
216,0
217,1
218,5
219,0
220,7
221,1
222,7
223,0
224,0
225,1
226,0
227,0
228,0
229,6
230,6
231,5
232,5
233,0
234,7
235,7
236,6
237,1
238,0
239,3
240,5
241,2
242,7
243,0
244,5
245,5
246,7
247,2
248,4
249,5
250,0
251,3
252,6
253,0
254,0
255,0
256,0
257,5
258,7
259,1
260,5
261,3
262,2
263,5
264,0
265,6
266,7
267,2
268,7
269,6
270,7
271,6
272,5
273,6
274,1
275,7
276,6
277,7
278,1
279,4
280,1
281,1
282,2
283,0
284,0
285,6
286,6
287,6
288,2
289,4
290,1
291,5
292,3
293,7
294,0
295,0
296,6
297,7
298,5
299,7
300,4
301,5
302,0
303,7
304,1
305,7
306,7
307,0
308,0
309,6
310,1
311,0
312,5
313,2
314,5
315,0
316,6
317,1
318,5
319,6
320,7
321,2
322,7
323,2
324,7
325,0
326,5
327,5
328,1
329,4
330,7
331,7
332,0
333,6
334,0
335,5
336,0
337,4
338,7
339,0
340,5
341,2
342,4
343,7
344,5
345,5
346,6
347,6
348,6
349,5
350,0
351,6
352,6
353,1
354,6
355,7
356,1
357,6
358,5
359,1
360,5
361,1
362,0
363,0
364,2
365,1
366,5
367,7
368,7
369,5
370,7
371,0
372,1
373,5
374,2
375,0
376,0
377,0
378,7
379,0
380,1
381,7
382,0
383,0
384,1
385,5
386,0
387,7
388,5
389,2
390,1
391,3
392,7
393,0
394,0
395,0
396,1
397,1
398,1
399,6
400,6
401,0
402,7
403,0
404,5
405,2
406,6
407,6
408,0
409,3
410,2
411,0
412,6
413,7
414,1
415,7
416,0
417,7
418,6
419,0
420,1
421,7
422,0
423,7
424,1
425,0
426,5
427,0
428,0
429,2
430,0
431,1
432,1
433,6
434,6
435,6
436,0
437,5
438,7
439,4
440,5
441,1
442,5
443,6
444,6
445,2
446,5
447,5
448,0
449,0
450,0
451,2
452,0
453,5
454,0
455,6
456,6
457,5
458,1
459,0
460,7
461,5
462,2
463,5
464,0
465,0
466,7
467,0
468,6
469,5
470,6
471,0
472,5
473,0
474,5
475,0
476,7
477,0
478,0
479,6
480,6
481,5
482,2
483,6
484,5
485,5
486,0
487,0
488,2
489,0
490,5
491,0
492,0
493,0
494,0
495,6
496,1
497,7
498,0
499,5
500,0
501,0
502,6
