,K Train Cluster IDS
0,2
1,0
2,0
3,0
4,2
5,0
6,0
7,3
8,0
9,1
10,3
11,1
12,2
13,1
14,2
15,1
16,0
17,0
18,3
19,2
20,0
21,0
22,2
23,0
24,1
25,2
26,0
27,2
28,2
29,0
30,1
31,0
32,0
33,0
34,2
35,3
36,1
37,1
38,2
39,2
40,2
41,2
42,1
43,2
44,1
45,0
46,0
47,0
48,3
49,0
50,0
51,1
52,0
53,3
54,2
55,0
56,1
57,1
58,0
59,0
60,0
61,3
62,0
63,1
64,2
65,3
66,2
67,1
68,0
69,0
70,0
71,1
72,1
73,3
74,2
75,1
76,0
77,3
78,0
79,3
80,0
81,2
82,0
83,0
84,0
85,2
86,1
87,0
88,0
89,1
90,3
91,1
92,2
93,3
94,0
95,0
96,0
97,1
98,0
99,0
100,1
101,3
102,1
103,0
104,1
105,2
106,2
107,2
108,0
109,0
110,3
111,0
112,1
113,1
114,1
115,2
116,0
117,2
118,3
119,1
120,2
121,2
122,3
123,0
124,0
125,0
126,3
127,3
128,1
129,2
130,2
131,2
132,1
133,3
134,3
135,0
136,0
137,1
138,3
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,2
148,0
149,0
150,3
151,3
152,3
153,2
154,3
155,0
156,1
157,1
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,3
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,2
175,2
176,3
177,2
178,0
179,1
180,3
181,1
182,3
183,2
184,1
185,0
186,3
187,2
188,1
189,0
190,2
191,3
192,3
193,2
194,0
195,2
196,0
197,1
198,3
199,3
200,1
201,0
202,2
203,0
204,0
205,0
206,0
207,3
208,0
209,2
210,2
211,1
212,2
213,0
214,0
215,3
216,0
217,2
218,1
219,0
220,1
221,2
222,3
223,0
224,0
225,2
226,0
227,0
228,0
229,3
230,3
231,2
232,2
233,0
234,0
235,2
236,3
237,2
238,0
239,3
240,3
241,3
242,1
243,0
244,1
245,1
246,1
247,3
248,1
249,2
250,0
251,3
252,3
253,0
254,0
255,0
256,0
257,2
258,0
259,2
260,2
261,3
262,0
263,2
264,0
265,2
266,1
267,0
268,0
269,3
270,1
271,3
272,2
273,3
274,2
275,0
276,3
277,1
278,2
279,1
280,2
281,2
282,3
283,0
284,0
285,3
286,3
287,2
288,3
289,1
290,2
291,3
292,3
293,1
294,0
295,0
296,2
297,1
298,2
299,0
300,1
301,1
302,0
303,1
304,2
305,1
306,1
307,0
308,0
309,3
310,2
311,0
312,2
313,0
314,2
315,0
316,3
317,2
318,2
319,0
320,1
321,3
322,1
323,3
324,1
325,0
326,2
327,2
328,2
329,1
330,0
331,1
332,0
333,3
334,0
335,2
336,0
337,1
338,0
339,0
340,1
341,3
342,0
343,1
344,2
345,2
346,3
347,0
348,3
349,2
350,0
351,3
352,3
353,2
354,3
355,1
356,2
357,3
358,2
359,2
360,1
361,2
362,0
363,0
364,3
365,2
366,2
367,1
368,1
369,3
370,1
371,0
372,2
373,2
374,3
375,0
376,0
377,0
378,1
379,0
380,2
381,0
382,0
383,0
384,0
385,1
386,0
387,0
388,2
389,3
390,0
391,3
392,0
393,0
394,0
395,0
396,2
397,2
398,2
399,3
400,3
401,0
402,1
403,0
404,3
405,3
406,3
407,3
408,0
409,3
410,0
411,0
412,3
413,1
414,2
415,1
416,0
417,1
418,3
419,0
420,2
421,0
422,0
423,1
424,2
425,0
426,2
427,0
428,0
429,3
430,0
431,2
432,2
433,3
434,2
435,3
436,0
437,1
438,3
439,1
440,2
441,2
442,0
443,3
444,3
445,0
446,3
447,2
448,0
449,0
450,0
451,0
452,0
453,2
454,0
455,3
456,3
457,1
458,2
459,0
460,1
461,2
462,2
463,3
464,0
465,0
466,1
467,0
468,3
469,1
470,3
471,0
472,1
473,0
474,1
475,0
476,1
477,0
478,0
479,0
480,3
481,2
482,0
483,3
484,1
485,0
486,0
487,0
488,3
489,0
490,2
491,0
492,0
493,0
494,0
495,3
496,0
497,0
498,0
499,1
500,0
501,0
502,3
503,0
504,0
505,2
506,3
507,2
508,3
509,3
510,0
511,3
512,2
513,3
514,2
515,2
516,1
517,2
518,3
519,3
520,1
521,2
522,0
523,3
524,0
525,1
526,2
527,0
528,3
529,0
530,0
531,2
532,3
533,3
534,0
535,0
536,0
537,1
538,2
539,0
540,2
541,2
542,0
543,0
544,2
545,2
546,3
547,0
548,0
549,2
550,1
551,3
552,3
553,2
554,1
555,2
556,0
557,2
558,0
559,0
560,3
561,3
562,0
563,0
564,0
565,2
566,1
567,3
568,1
569,2
570,0
571,0
572,0
573,1
574,0
575,0
576,1
577,0
578,2
579,3
580,0
581,2
582,0
583,3
584,0
585,2
586,0
587,3
588,1
589,0
590,2
591,0
592,2
593,2
594,2
595,0
596,3
597,1
598,3
599,1
600,1
601,0
602,3
603,0
604,1
605,0
606,3
607,3
608,0
609,0
610,2
611,0
612,2
613,0
614,3
615,0
616,3
617,2
618,2
619,0
620,0
621,3
622,0
623,1
624,0
625,0
626,1
627,1
628,3
629,0
630,1
631,1
632,1
633,2
634,0
635,1
636,0
637,2
638,0
639,0
640,1
641,2
642,2
643,1
644,2
645,2
646,2
647,0
648,3
649,3
650,0
651,1
652,1
653,2
654,0
655,2
656,2
657,0
658,0
659,2
660,0
661,1
662,2
663,3
664,0
665,2
666,3
667,0
668,0
669,2
670,2
671,0
672,1
673,3
674,1
675,0
676,3
677,0
678,1
679,1
680,2
681,0
682,0
683,2
684,2
685,0
686,0
687,2
688,0
689,3
690,0
691,2
692,1
693,2
694,3
695,0
696,2
697,0
698,2
699,1
700,3
701,3
702,0
703,1
704,2
705,3
706,0
707,0
708,0
709,0
710,2
711,2
712,0
713,2
714,0
715,1
716,1
717,2
718,0
719,3
720,2
721,3
722,1
723,0
724,3
725,0
726,1
727,3
728,1
729,3
730,2
731,3
732,0
733,0
734,0
735,2
736,2
737,0
738,1
739,3
740,0
741,3
742,0
743,2
744,1
745,3
746,1
747,2
748,0
749,0
750,2
751,0
752,1
753,2
754,0
755,3
756,0
757,3
758,2
759,0
760,0
761,2
762,2
763,3
764,0
765,3
766,2
767,3
768,2
769,1
770,3
771,0
772,1
773,3
774,0
775,0
776,1
777,2
778,2
779,0
780,0
781,0
782,3
783,0
784,1
785,0
786,2
787,3
788,0
789,2
790,2
791,0
792,3
793,1
794,3
795,2
796,3
797,1
798,1
799,1
800,3
801,1
802,0
803,3
804,0
805,0
806,3
807,2
808,0
809,2
810,2
811,2
812,0
813,2
814,1
815,1
816,1
817,0
818,2
819,0
820,1
821,2
822,0
823,0
824,0
825,2
826,2
827,3
828,2
829,0
830,3
831,1
832,3
833,0
834,2
835,0
836,2
837,0
838,1
839,2
840,3
841,0
842,0
843,1
844,0
845,0
846,1
847,3
848,0
849,1
850,0
851,1
852,2
853,0
854,1
855,3
856,3
857,0
858,1
859,0
860,2
861,3
862,2
863,1
864,0
865,0
866,3
867,1
868,0
869,0
870,0
871,0
872,0
873,2
874,1
875,1
876,3
877,1
878,1
879,3
880,0
881,0
882,1
883,0
884,2
885,0
886,0
887,3
888,0
889,3
890,0
891,1
892,1
893,0
894,1
895,2
896,1
897,0
898,0
899,3
900,0
901,2
902,3
903,0
904,0
905,0
906,0
907,0
908,0
909,3
910,1
911,1
912,0
913,1
914,0
915,0
916,1
917,0
918,0
919,0
920,0
921,1
922,0
923,2
924,0
925,1
926,0
927,3
928,2
929,2
930,1
931,1
932,0
933,0
934,2
935,1
936,0
937,0
938,0
939,2
940,3
941,3
942,0
943,0
944,1
945,1
946,3
947,1
948,0
949,2
950,1
951,2
952,2
953,0
954,0
955,1
956,2
957,3
958,0
959,0
960,2
961,0
962,0
963,3
964,1
965,0
966,3
967,2
968,0
969,3
970,2
971,3
972,0
973,2
974,0
975,0
976,3
977,3
978,0
979,1
980,0
981,2
982,1
983,2
984,3
985,1
986,2
987,2
988,0
989,1
990,2
991,0
992,1
993,3
994,2
995,0
996,1
997,2
998,1
999,2
1000,1
1001,3
1002,0
1003,3
1004,3
1005,1
1006,0
1007,2
1008,0
1009,3
1010,1
1011,1
1012,3
1013,0
1014,2
1015,1
1016,0
1017,2
1018,0
1019,2
1020,1
1021,0
1022,3
1023,0
1024,3
1025,1
1026,3
1027,2
1028,2
1029,3
1030,3
1031,1
1032,0
1033,2
1034,0
1035,2
1036,3
1037,3
1038,3
1039,3
1040,0
1041,0
1042,0
1043,0
1044,0
1045,2
1046,1
1047,2
1048,2
1049,0
1050,2
1051,0
1052,2
1053,1
1054,1
1055,0
1056,0
1057,1
1058,0
1059,0
1060,0
1061,0
1062,3
1063,2
1064,0
1065,3
1066,0
1067,2
1068,0
1069,0
1070,0
1071,2
1072,0
1073,1
1074,2
1075,0
1076,0
1077,2
1078,1
1079,3
1080,3
1081,3
1082,3
1083,1
1084,3
1085,3
1086,0
1087,0
1088,2
1089,3
1090,0
1091,0
1092,2
1093,1
1094,3
1095,0
1096,0
1097,0
1098,2
1099,3
1100,2
1101,2
1102,0
1103,0
1104,0
1105,1
1106,1
1107,3
1108,0
1109,1
1110,2
1111,0
1112,1
1113,0
1114,0
1115,3
1116,1
1117,1
1118,1
1119,3
1120,3
1121,1
1122,2
1123,2
1124,1
1125,0
1126,1
1127,2
1128,0
1129,0
1130,3
1131,1
1132,0
1133,1
1134,0
1135,2
1136,0
1137,3
1138,2
1139,1
1140,1
1141,1
1142,0
1143,0
1144,1
1145,2
1146,0
1147,0
1148,1
1149,0
1150,2
1151,1
1152,0
1153,2
1154,2
1155,2
1156,1
