,Result
25541,1
9095,0
10885,0
237,0
21085,1
13816,0
6619,0
25953,1
6795,0
5544,0
24682,1
11543,0
22265,1
1348,0
19808,1
3913,0
28681,1
14967,1
26904,1
21542,1
6763,0
1474,0
21248,1
3595,0
695,0
17398,1
5983,0
20742,1
26136,1
14242,0
4110,0
1900,0
2414,0
10583,0
20091,1
17618,1
2964,0
13279,0
17214,1
12423,0
11852,0
16955,1
1449,0
15354,1
19180,1
6484,0
123,0
4369,0
12480,0
10575,0
3851,0
999,0
13290,0
27284,1
22125,1
6591,0
10321,0
11401,0
8102,0
4827,0
10997,0
24959,1
14452,0
8212,0
17204,1
23744,1
21031,1
12501,0
10410,0
5128,0
17801,1
9393,0
403,0
25502,1
19465,1
10532,0
4444,0
27187,1
7756,0
26091,1
28127,1
20669,1
1470,0
28988,1
29231,1
16738,1
1079,0
7404,0
7277,0
9100,0
27968,1
1852,0
27473,1
19046,1
3374,0
9880,0
5499,0
3683,0
2832,0
3631,0
5387,0
23547,1
1513,0
1012,0
4837,0
22483,1
8546,0
18110,1
2406,0
11481,0
21441,1
9911,0
783,0
3157,0
14289,0
22038,1
19327,1
20170,1
23543,1
8046,0
20622,1
27847,1
23798,1
9646,0
4661,0
29202,1
19119,1
25727,1
7832,0
6648,0
22882,1
17550,1
6929,0
27383,1
27646,1
2594,0
29123,1
12025,0
27070,1
10806,0
9035,0
12582,0
29042,1
11492,0
10009,0
11445,0
1453,0
20244,1
8461,0
8778,0
24287,1
25703,1
21174,1
25861,1
16317,1
28855,1
947,0
10921,0
6045,0
5166,0
2557,0
14160,0
11322,0
3604,0
14224,0
28781,1
26015,1
12802,0
25102,1
9731,0
2906,0
12004,0
12935,0
10118,0
27826,1
7974,0
18993,1
19264,1
15063,1
8499,0
26743,1
7644,0
22002,1
18008,1
8585,0
27341,1
28005,1
17034,1
273,0
6498,0
17552,1
25590,1
21492,1
18336,1
4391,0
18922,1
28756,1
3995,0
28497,1
27137,1
11694,0
14659,1
17842,1
24826,1
735,0
8812,0
7677,0
18999,1
26389,1
16915,1
16082,1
2027,0
19139,1
16522,1
13184,0
28539,1
4929,0
22867,1
3322,0
11844,0
1510,0
21275,1
968,0
6175,0
15564,1
19752,1
8035,0
22911,1
10905,0
26405,1
26491,1
18287,1
20915,1
16763,1
10678,0
18312,1
26916,1
15863,1
2112,0
23146,1
19038,1
28238,1
3484,0
4322,0
1130,0
6678,0
5576,0
29187,1
7318,0
19062,1
11678,0
24174,1
19856,1
1737,0
784,0
26701,1
29104,1
25053,1
16027,1
16134,1
19078,1
23319,1
28169,1
21640,1
7119,0
2722,0
13893,0
14889,1
5305,0
8241,0
4510,0
26877,1
27938,1
25393,1
21450,1
8447,0
13840,0
14204,0
15713,1
10294,0
22350,1
20487,1
28500,1
20697,1
11897,0
27678,1
24937,1
15690,1
28024,1
1782,0
28652,1
24336,1
23785,1
13426,0
7526,0
2719,0
24427,1
9662,0
18863,1
14529,0
11442,0
7077,0
3306,0
13336,0
16842,1
824,0
4742,0
1049,0
8159,0
27874,1
19105,1
6592,0
27575,1
15055,1
27848,1
9714,0
26442,1
17997,1
19304,1
28595,1
5674,0
28351,1
4846,0
17188,1
11450,0
4389,0
22117,1
20316,1
21326,1
1383,0
28712,1
13346,0
5170,0
21549,1
3284,0
17432,1
3819,0
5107,0
5729,0
9116,0
6246,0
14751,1
12908,0
11043,0
22360,1
20149,1
1230,0
27339,1
25403,1
22990,1
8857,0
26765,1
25781,1
21798,1
26217,1
5324,0
17026,1
26842,1
15296,1
22683,1
3105,0
19358,1
3500,0
2173,0
28118,1
20245,1
8051,0
6608,0
13546,0
17447,1
7853,0
13729,0
17115,1
20251,1
27966,1
14661,1
7529,0
5295,0
13130,0
10421,0
21141,1
8676,0
2796,0
11997,0
18328,1
12536,0
15345,1
2633,0
21652,1
25630,1
17240,1
23880,1
9685,0
13699,0
13295,0
14278,0
17711,1
18347,1
17615,1
26744,1
29293,1
17316,1
10870,0
1908,0
21725,1
28249,1
28591,1
25890,1
7177,0
24248,1
15229,1
5602,0
27162,1
14064,0
16051,1
6026,0
1139,0
13764,0
18129,1
4158,0
18325,1
8190,0
28683,1
1166,0
21561,1
8093,0
16783,1
4762,0
9587,0
28039,1
12131,0
20286,1
22977,1
24698,1
22657,1
16106,1
12541,0
394,0
7478,0
7308,0
16795,1
19926,1
8807,0
25537,1
27450,1
24356,1
22842,1
21219,1
1736,0
8657,0
21036,1
28143,1
13234,0
21114,1
19116,1
16376,1
3354,0
8713,0
18568,1
1028,0
13101,0
19223,1
