,swin,stcpb,dtcpb,dwin,trans_depth,response_body_len,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,label
19142,255,2618139824,882712588,255,0,0,0,0,0,0,0
15063,255,2258381736,113292007,255,0,0,0,0,0,0,0
29857,255,4072080252,535199491,255,0,0,0,0,0,0,1
39997,255,1918188235,2703353972,255,1,171,0,0,4,0,0
33798,255,1029975067,1571575639,255,0,0,0,0,0,0,1
34845,255,460805589,3476062363,255,0,0,0,0,0,0,0
22905,255,1512902795,3713556166,255,0,0,0,0,0,0,1
29508,255,1699977967,1283871903,255,0,0,0,0,0,0,1
27487,255,1229668973,848439421,255,0,0,0,0,0,0,1
17382,255,2270673597,126342476,255,0,0,0,0,0,0,0
26377,0,0,0,0,0,0,0,0,0,0,1
17781,0,0,0,0,0,0,0,0,0,0,0
28851,0,0,0,0,0,0,0,0,0,0,1
24839,255,3788128673,1898104518,255,0,0,0,0,0,0,1
12215,255,1700278775,3850139128,255,0,0,0,0,0,0,0
39584,255,35044262,2082120527,255,1,127,0,0,1,0,0
9628,255,2080345632,1929186690,255,0,0,0,0,0,0,1
35333,255,364006394,173920115,255,0,0,0,0,0,0,0
35460,255,0,0,0,0,0,0,0,0,0,0
7570,0,0,0,0,0,0,0,0,0,0,1
16193,0,0,0,0,0,0,0,0,0,0,0
19350,255,4193362071,1112526903,255,1,256,0,0,1,0,0
13242,255,2929931205,781377864,255,1,3924,0,0,1,0,0
27924,0,0,0,0,0,0,0,0,0,0,1
12390,255,3408758105,3787330599,255,0,0,0,0,0,0,0
4949,255,1104961871,2866067867,255,1,8704,0,0,1,0,1
9568,255,2837919409,1692042187,255,1,109,0,0,1,0,1
34650,0,0,0,0,0,0,0,0,0,0,0
37856,255,0,0,0,0,0,0,0,0,0,0
29258,0,0,0,0,0,0,0,0,0,0,1
17048,255,3225903320,3226916916,255,1,3924,0,0,1,0,0
8364,0,0,0,0,0,0,0,0,0,0,1
13003,255,4155353863,2006115923,255,0,0,0,0,0,0,0
13610,255,803586841,825627993,255,0,0,1,1,0,0,0
4119,0,0,0,0,0,0,0,0,0,0,1
28256,0,0,0,0,0,0,0,0,0,0,1
22237,255,4098322651,1050337353,255,0,0,0,0,0,0,1
8711,255,2881259218,2405082698,255,1,1663,0,0,1,0,1
29474,0,0,0,0,0,0,0,0,0,0,1
17109,0,0,0,0,0,0,0,0,0,0,0
3125,0,0,0,0,0,0,0,0,0,0,1
35432,255,0,0,0,0,0,0,0,0,0,0
34299,255,0,0,0,0,0,0,0,0,0,0
23111,255,969482759,3375361692,255,0,0,0,0,0,0,1
18359,255,998341109,1807327045,255,1,123,0,0,1,0,0
11384,0,0,0,0,0,0,0,0,0,0,1
14295,255,2444764379,295518557,255,0,0,0,0,0,0,0
19821,0,0,0,0,0,0,0,0,0,0,1
34842,255,2602354528,4019699606,255,0,0,0,0,0,0,0
19287,255,3135488621,3869220706,255,0,0,0,0,0,0,0
22945,255,11546516,4082575052,255,0,0,0,0,0,0,1
2404,0,0,0,0,0,0,0,0,0,0,1
8505,0,0,0,0,0,0,0,0,0,0,1
29743,255,134223336,2089158309,255,0,0,0,0,0,0,1
39920,255,1829438947,4121545524,255,1,243,0,0,6,0,0
29421,0,0,0,0,0,0,0,0,0,0,1
30445,255,312265640,3692284411,255,0,0,0,0,0,0,1
20124,255,1793132359,3920545789,255,0,0,0,0,0,0,1
34976,255,4257836319,463916695,255,0,0,0,0,0,0,0
13096,255,360353460,2510078281,255,0,0,0,0,0,0,0
28918,255,4050250189,1425134160,255,0,0,0,0,0,0,1
10351,255,1965170255,1038353087,255,1,141,0,0,4,0,1
31619,0,0,0,0,0,0,0,0,0,0,1
30912,255,3512160425,2907857334,255,0,0,0,0,0,0,1
17659,0,0,0,0,0,0,0,0,0,0,0
9068,255,4115742576,1480836455,255,0,0,0,0,0,0,1
15131,0,0,0,0,0,0,0,0,0,0,0
29038,255,894477620,3988708233,255,0,0,0,0,0,0,1
